stock_id,r_squared,valid_count,invalid_count,incomplete_count
002133.SZ,0.1869,2082,1763,1
002134.SZ,0.1299,6614,1873,3
002135.SZ,0.2733,16093,911,4
002136.SZ,0.1038,8205,1659,6
002137.SZ,0.1162,12465,827,11
002138.SZ,0.1174,29357,270,11
002139.SZ,0.2170,18459,535,6
002140.SZ,0.0137,7149,1928,6
002141.SZ,0.1509,5870,1634,8
002142.SZ,0.1237,35321,116,7
002144.SZ,0.1267,4741,1729,8
002145.SZ,0.2001,25820,344,13
002146.SZ,0.2834,13970,880,7
002148.SZ,0.3187,6579,1985,2
002149.SZ,0.1604,7325,2002,4
002150.SZ,0.1744,3989,2064,3
002151.SZ,-0.0058,90305,22,18
002152.SZ,0.0759,23552,132,10
002153.SZ,0.2153,14954,862,5
002154.SZ,0.1186,7019,1707,3
002155.SZ,0.1531,17668,589,5
002156.SZ,0.1738,28822,100,18
002157.SZ,0.0877,41096,41,12
002158.SZ,0.0555,9416,1436,6
002159.SZ,0.0035,3055,1923,1
002160.SZ,0.1571,11939,923,8
002161.SZ,0.0868,8363,1465,5
002162.SZ,0.1855,4471,1869,3
002163.SZ,0.1339,36579,3697,1
002164.SZ,0.1199,9210,1437,6
002165.SZ,-0.0164,24534,866,22
002166.SZ,0.1546,26360,16972,1
002167.SZ,0.0349,10424,1157,6
002168.SZ,-0.0010,6459,1642,4
002169.SZ,0.1111,10138,1113,5
002170.SZ,0.1034,15939,983,7
002171.SZ,0.2981,15712,832,8
002172.SZ,0.0870,5159,1705,5
002173.SZ,0.2396,7718,2256,6
002174.SZ,0.1735,22859,324,6
002177.SZ,0.1355,12221,850,4
002178.SZ,0.1704,7542,1864,4
002179.SZ,0.1806,17337,792,7
002180.SZ,0.1655,22354,416,4
002181.SZ,0.0782,3803,2068,4
002182.SZ,0.2120,34146,341,7
002183.SZ,0.2102,12155,1072,4
002184.SZ,0.1202,9461,1533,6
002185.SZ,0.0994,71981,18,28
002186.SZ,-0.1513,5429,1931,2
002187.SZ,0.1231,13586,1215,6
002189.SZ,0.2043,16928,1091,5
002190.SZ,-0.0050,19343,693,5
002191.SZ,0.1772,18568,701,4
002193.SZ,-0.2279,2086,1878,3
002194.SZ,0.0701,13225,831,3
002195.SZ,0.1023,17250,157,6
002196.SZ,0.0930,2732,1898,2
002197.SZ,0.0535,10154,1193,8
002198.SZ,0.0980,4704,1894,5
002199.SZ,0.0608,4990,1784,8
002201.SZ,0.0959,22288,268,11
002202.SZ,-0.0807,27431,136,11
002203.SZ,0.1892,6084,1756,4
002204.SZ,0.1633,20134,237,7
002205.SZ,-0.0038,4012,1919,4
002206.SZ,0.0839,14052,762,7
002207.SZ,0.1782,2016,1670,2
002208.SZ,-0.0531,14840,668,7
002209.SZ,-0.0027,12137,1101,5
002211.SZ,0.0795,6102,1845,3
002212.SZ,0.2161,16737,995,6
002213.SZ,0.0218,2896,1902,1
002214.SZ,0.2717,22887,501,6
002215.SZ,0.2272,10338,1655,4
002216.SZ,0.1647,30293,248,7
002217.SZ,0.0854,14551,478,17
002218.SZ,-0.0611,9983,1236,2
002221.SZ,0.2001,10507,1670,4
002222.SZ,0.1773,25031,306,17
002223.SZ,0.1721,30218,168,13
002224.SZ,0.1907,7897,1593,7
002225.SZ,0.1039,4808,1994,5
002226.SZ,-0.0020,20739,1097,37
002227.SZ,-0.0321,2238,1890,1
002228.SZ,0.1062,6451,1869,2
002229.SZ,0.1072,3263,1906,4
002230.SZ,0.0896,28750,83,15
002231.SZ,0.0820,8878,1567,3
002232.SZ,0.1207,19400,3603,1
002233.SZ,0.2233,33744,149,4
002234.SZ,0.0667,9682,1254,4
002235.SZ,0.1208,13327,1145,8
002236.SZ,0.1704,44256,59,9
002237.SZ,0.1265,23385,386,7
002238.SZ,0.1562,5669,1766,4
002239.SZ,0.1224,46434,11,24
002240.SZ,0.1258,12518,1427,6
002241.SZ,0.1290,112683,12,72
002242.SZ,0.2071,13891,1071,4
002243.SZ,0.1112,10520,1731,3
002244.SZ,0.3151,11671,1511,3
002245.SZ,0.1591,6901,1634,8
002246.SZ,0.0431,9213,1567,3
002248.SZ,-0.0005,4522,1886,4
002249.SZ,0.2780,13279,1000,3
002250.SZ,0.1849,10829,1642,3
002251.SZ,0.2513,7097,2162,6
002252.SZ,0.3852,24978,167,9
002253.SZ,0.2069,4985,1974,2
002254.SZ,0.2694,12193,1587,3
002258.SZ,0.2645,18762,1020,4
002261.SZ,0.0927,15242,534,12
002262.SZ,0.0943,25168,403,7
002263.SZ,-0.0310,8105,1227,3
002264.SZ,0.1583,7220,2122,6
002265.SZ,0.1276,9713,1681,5
002266.SZ,0.2349,10662,1495,7
002267.SZ,0.1083,3817,2046,3
002268.SZ,0.2310,14276,1053,8
002269.SZ,0.0370,5440,1789,3
002270.SZ,0.0981,36086,2717,13
002271.SZ,0.1447,32132,93,12
002272.SZ,0.2296,4957,2069,3
002273.SZ,0.1012,21942,186,12
002274.SZ,0.0743,8223,1675,6
002275.SZ,0.2381,3557,2136,4
002276.SZ,0.0816,8333,1428,5
002277.SZ,0.1885,9203,1305,7
002278.SZ,0.1011,5882,2188,2
002279.SZ,0.1008,9476,1190,5
002280.SZ,0.0013,8946,1041,7
002281.SZ,0.1163,11309,1223,6
002282.SZ,0.1305,3799,2060,4
002283.SZ,0.0092,10037,1123,3
002284.SZ,0.0449,13969,1085,5
002285.SZ,0.1893,18346,479,5
002286.SZ,0.0953,40319,772,42
002287.SZ,-0.0040,17892,713,8
002288.SZ,0.1058,28754,295,11
002291.SZ,0.0087,15046,567,13
002292.SZ,0.2122,18021,770,7
002293.SZ,0.1212,3261,2036,2
002294.SZ,0.2979,16668,896,3
002295.SZ,-0.2998,1682,1609,2
002296.SZ,0.1510,10314,1248,7
002297.SZ,0.1286,19385,519,7
002298.SZ,0.0899,17570,748,9
002299.SZ,0.0892,19388,532,5
002300.SZ,0.0841,5021,1836,3
002301.SZ,0.3844,14823,1292,4
002302.SZ,0.0619,12240,886,7
002303.SZ,0.2953,12225,1787,5
002304.SZ,0.1782,18331,459,5
002305.SZ,0.0719,5974,1596,5
002307.SZ,0.1690,10454,1114,7
002308.SZ,0.0301,12174,1072,5
002309.SZ,0.1004,4973,1933,3
002310.SZ,0.0656,8723,1357,6
002311.SZ,0.1850,22099,668,4
002312.SZ,0.2453,16710,847,5
002313.SZ,0.1998,3862,2031,3
002314.SZ,0.2613,18681,960,6
002315.SZ,0.2896,10959,1660,2
